Dossier analyse :
 note : 	 evaluation: 	 commentaire : 
3	moyen	divers	
3	moyen	Excellent restaurant, simplicité, saveurs et rapport qualité prix.. Je recommande vivement, une des meilleures adresse d'Annecy	
2	m�diocre	Le restaurant propose un service à emporter, les plats sont savoureux. Très bonne adresse si vous passez à Annecy-le-Vieux	
3	moyen	Cuisine excellente et préparée avec grande habilité devant vous C'est folkloriquement bon et sympathique Mais cadre très très moyen et non renouvelé depuis des années	
2	m�diocre	A la recherche d'un resto abordable nous choisissons cette jolie terasse avec vue sur le lac, mais les pizzas sont relativement mauvaises, hyper huileuse et fromage a pizza bas de gamme, decevant! Seule la pate croistille.. On ne s'est pas regale	
2	m�diocre	Excellente soirée grâce à la qualité des plats et au spectacle de préparation de ces plats. C'est à chaque fois un regal	
3	moyen	Le restaurant était complet. Nous sommes donc allés sur le bar de plage de la savoyarde et là au surprise des prix exorbitants une Guinness en canette à huit euros et un verre de vin rosé à six euros franchement même avec un cadre superbe c’est beaucoup trop cher. Et en plus ils avaient oublié notre pizza. Nous ne reviendrons plus	
3	moyen	Superbe restaurant recommandé par des gens du coins très bon rapport qualité-prix. Vue sur le lac magnifique. Au top serveur agréable et nourriture fraîche. Tartine au saumon excellente	
2	m�diocre	Établissement bien situé, service attentionné mais rien d'exceptionnel dans l'assiette. La carte des plats et leur réalisation sont très simples. J'ai opté pour un bagel saumon et un thé gourmand en dessert	
2	m�diocre	Super expérience! De loin le meilleur japonais d’Annecy! Le chef, armé de couteaux, préparent tous les plats devant vous, les produits sont frais, de qualité, les sauces succulentes, la classe	
3	moyen	Excellent restaurant, simplicité, saveurs et rapport qualité prix.. Je recommande vivement, une des meilleures adresse d'Annecy	
2	m�diocre	le 23 aout comme chaque année nous dinons pour l'anniversaire de mon mari en famille dans ce restaurant mais cette fois très très déçu, pour le le service nous avons réclamé trois fois une carafe d'eau idem pour le pain ; pour le menu le foie gras très moyen le poisson fade le vin rouge pas super .Très bel endroit mais le rapport qualité prix n'est pas au rendez vous nous ne reviendrons pas	
2	m�diocre	Spectacle culinaire, autant pour les yeux que pour les papilles ! je recommande, merci au chef et à son équipe foncez les yeux fermés 	
2	m�diocre	Dimanche de fête des mères, beaucoup de monde, ce qui n’a pas empêché plusieurs personnes du personnel d’aider ma maman en chaise roulante à monter les marches et à s’installer. Une équipe bienveillante et dynamique, un cadre magnifique et des mets variés, délicieux et copieux	
3	moyen	Très bel endroit, service excellent, mais de la à payer 45€ un repas avec en entrée un Gervais posé sur une chiffonnade de Patta Negra, en dessert un fruit couper en tranche avec une glace poser dessus. Aucune recherche, ici on paye l'emplacement mais pour un repas il vaut mieux aller ailleurs	
2	m�diocre	un service convivial pour une cuisine familiale avec un bon rapport qualité/prix. Attention à ne pas sous-noté injustement cet endroit si vous le fréquentez après être passé dans les gastronomiques voisins	
3	moyen	Bruyant et très rapide Dans l’ensemble déçu Carte minimalsite Vue sur le terrain vague de la plage municipale	
2	m�diocre	Attention aux pieds les vis du parquet sont desserrées sur terrasse côté plage prix excessifs ,sourires et amabilité en option . Quelques fois il faut faire un autre métier	
2	m�diocre	L'endroit ne paie pas de mine mais est très fréquenté. On s'est régalé avec les lasagnes aux légumes et la tartiflette. Parfait pour une pause assez rapide au cours d'un périple à vélo	
3	moyen	Le restaurant et sa terrasse sont très sympas. L'accueil malgré la forte affluence est remarquable. Les spécialités locales servies sont copieuses et idem pour les desserts, fait maison et les parts sont "grosses". La vue sur le lac est un atout indéniable	
1	tr�s m�diocre	Gérant pas très accueillant. Nous a refusé l’accès à la salle alors que nous venions de passer commande	
3	moyen	Excellent repas, rapport qualité-prix parfait. Je recommande vivement. Merci à ces restaurateurs de rendre abordable une cuisine si fine	
3	moyen	Accueil snack la savoyarde déplorable. Pas de possibilité d'avoir une tranche de pain avec la salade. Personnel antipathique	
3	moyen	Salade montagnarde bien complete, l'accueil est sympatique et discret comme il faut. Au pied du lac. Comme dit precedement : simple et efficace ! Et bon raport qualité prix	
4	bon	Restaurant avec une vue imprenable sur le lac Plat de qualité a des prix très correct Équipe sympathique et souriante Service rapide Bonne ambiance Liguine aux gambas	
2	m�diocre	Restaurant simple personnel aimable Je pensais que le menu decouverte ne serait pas suffisant mais finalement copieux Pas de critique a faire	
3	moyen	The restaurant is lovely and the food is good but very poor service. Waited 45mins before being offered drinks. Over an hour for the starter. Quite simply not enough staff	
2	m�diocre	Le restaurant propose un service à emporter, les plats sont savoureux. Très bonne adresse si vous passez à Annecy-le-Vieux	
3	moyen	Accueil super sympa pour ce petit restaurant Japonais aux spécialités Teppan Yaki, le service est impeccable, l’ambiance est chaleureuse et la cuisine vraiment maitrisée des produits nous a bluffé. Les tarifs sont contenus et adaptes a tous les budgets. Je recommande vivement et j’y reviendrai	
4	bon	Brasserie sans prétention pour manger une bricole. Simple mais avec une petite vue lac sympathique. L'accueil est bon mais le rapport qualité/prix est relativement cher	
2	m�diocre	Si vous avez faim passez votre chemin. Pas mauvais mais pas grand chose dans l assiette. Longue attente . Aucune carte de vins . Deux vins a choix .cher et pas bon	
2	m�diocre	Des cheveux dans le plat et le chef de mauvaise foi. Aucune excuse formulée par ce dernier ni geste commercial. Lamentable et déplorable. A éviter absolument	
3	moyen	Un accueil sympathique.. de bons produits pour une cuisine créative et savoureuse ! Des cuissons maîtrisées et des plats équilibrés. Un bon rapport qualité prix pour Annecy A recommander sans hesiter	
